,chemical_formula,melting_temperature_in_kelvin,standard_error_in_kelvin
0,LiCl,882.7139282226562,17.53634262084961
1,WCl6,408.8310241699219,96.83171081542969
2,TbCl3,1000.2997436523438,38.91639709472656
3,HfF4,1792.514892578125,780.1549072265625
4,GeBr4,312.4006042480469,23.38042640686035
5,SF6,202.92430114746094,35.540382385253906
6,OF2,200.14122009277344,16.569393157958984
7,MnF2,1418.8675537109375,110.64666748046875
8,AgF,1062.8348388671875,63.337547302246094
9,PuCl3,948.3131713867188,65.3278579711914
10,NdI2,883.5249633789062,51.64715576171875
11,ScF3,1659.5723876953125,98.16039276123047
12,VCl4,348.8294677734375,223.40382385253906
13,IF7,340.7436828613281,22.7601261138916
14,TeI4,561.234619140625,39.49570083618164
15,SbBr3,401.44512939453125,91.10784149169922
16,ZrCl2,1003.1568603515625,21.98759651184082
17,ZrCl4,886.068603515625,206.8316650390625
18,XeF6,309.23504638671875,33.122230529785156
19,XeF4,347.8177490234375,19.741804122924805
20,XeF2,375.3378601074219,52.87358856201172
21,VF5,328.2820739746094,249.792236328125
22,VF3,1683.42138671875,19.857173919677734
23,VCl5,305.2220458984375,96.01266479492188
24,VCl4,348.8294677734375,223.40382385253906
25,VCl2,1635.99267578125,8.701635360717773
26,UI4,852.0939331054688,100.47478485107422
27,UI3,967.8272705078125,106.94347381591797
28,UF6,370.90179443359375,66.4006576538086
29,UF5,526.873779296875,268.50592041015625
30,UF4,1429.4722900390625,187.7612762451172
31,UF3,1691.6837158203125,122.12056732177734
32,UCl6,430.1958312988281,26.397180557250977
33,UCl3,1060.8692626953125,57.634029388427734
34,UBr4,967.479248046875,107.37593841552734
35,UBr3,1081.3839111328125,35.0278205871582
36,TlCl2,504.9810485839844,40.937965393066406
37,TlCl,668.3131713867188,12.959506034851074
38,TlBr,644.7006225585938,24.364322662353516
39,Tl2Cl3,646.968994140625,25.770483016967773
40,TiI4,1265.8868408203125,22.70783233642578
41,TiCl4,530.5308837890625,328.9796142578125
42,TiBr4,1155.744873046875,348.8797607421875
43,ThI4,830.1290893554688,7.344927787780762
44,ThF4,1663.44482421875,475.69342041015625
45,ThCl4,1027.8193359375,65.57820129394531
46,ThBr4,870.9334716796875,64.22626495361328
47,TeI4,561.234619140625,39.49570083618164
48,TeF6,615.0097045898438,140.24978637695312
49,TeF4,611.1199951171875,172.5130615234375
50,PtF6,334.1094055175781,15.464004516601562
51,PtF5,351.9414978027344,19.89615249633789
52,PaCl5,749.6017456054688,51.48105239868164
53,PaBr5,716.271728515625,123.0565185546875
54,OsF6,315.9203186035156,18.6141357421875
55,OsF5,340.7247314453125,45.04362487792969
